Date,Season,Temperature(°C),AC hours,Fan hours,Light hours,Daily Consumption(kWh)
04-07-2026,Rainy,33,8,18,7,19.2
05-07-2026,Rainy,32,8,16,7,18.6
06-07-2026,Rainy,30,7,17,6,16.8
07-07-2026,Rainy,31,6,18,7,17.5
08-07-2026,Rainy,33,7,16,6,17.9
09-07-2026,Rainy,31,5,19,8,16.4
10-07-2026,Rainy,29,5,20,5,15.7
11-07-2026,Rainy,34,9,15,6,20.1
12-07-2026,Rainy,32,7,17,8,18.2
13-07-2026,Rainy,33,5,19,6,17.1
14-07-2026,Rainy,34,10,15,7,21
15-07-2026,Rainy,34,9,15,5,20.4
16-07-2026,Rainy,32,8,16,8,18.7
17-07-2026,Rainy,32,8,16,6,18.1
18-07-2026,Rainy,33,9,15,8,19.8
19-07-2026,Rainy,31,7,17,5,17.2
20-07-2026,Rainy,33,9,15,9,20
21-07-2026,Rainy,31,6,18,5,16.9
22-07-2026,Rainy,32,5,20,7,15.8
23-07-2026,Rainy,29,6,18,9,16.5
24-07-2026,Rainy,30,7,17,9,17.4
